SN,Name,Link to item,Rating,Reviews,Image Download link 1x,Image Download link 1.5x,Image Download link 2x,Image Download link 2.5x,Image Download link 3x,Price
1389,AD & AV Men's Regular Fit T-Shirt,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg84_1?ie=UTF8&adId=A07369162945O9U29IRM8&url=%2FAD-AV-Fullsleeve-Tshirt-709_MT_DO_LALPATTI_AA%2Fdp%2FB08785QCLB%2Fref%3Dsr_1_3989_sspa%3Fdchild%3D1%26keywords%3Dmen%2Btshirt%26qid%3D1596915629%26sr%3D8-3989-spons%26psc%3D1&qualifier=1596915629&id=8524657325538408&widgetName=sp_mtf,3.0 out of 5 stars,6,https://m.media-amazon.com/images/I/71GNY4a7bKL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71GNY4a7bKL._AC_UL480_QL65_.jpg,https://m.media-amazon.com/images/I/71GNY4a7bKL._AC_UL640_QL65_.jpg,https://m.media-amazon.com/images/I/71GNY4a7bKL._AC_UL800_QL65_.jpg,https://m.media-amazon.com/images/I/71GNY4a7bKL._AC_UL960_QL65_.jpg,401
1390,BULLMER Mens Halfsleeve Round Neck Printed Cotton Tshirt,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg84_1?ie=UTF8&adId=A01612283Q6HPQWO7WFNX&url=%2FBULLMER-Halfsleeve-Printed-Cotton-Tshirt%2Fdp%2FB08CPYY71W%2Fref%3Dsr_1_3990_sspa%3Fdchild%3D1%26keywords%3Dmen%2Btshirt%26qid%3D1596915629%26sr%3D8-3990-spons%26psc%3D1&qualifier=1596915629&id=8524657325538408&widgetName=sp_mtf,-,-,https://m.media-amazon.com/images/I/61wVFDiVUqL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61wVFDiVUqL._AC_UL480_QL65_.jpg,https://m.media-amazon.com/images/I/61wVFDiVUqL._AC_UL640_QL65_.jpg,https://m.media-amazon.com/images/I/61wVFDiVUqL._AC_UL800_QL65_.jpg,https://m.media-amazon.com/images/I/61wVFDiVUqL._AC_UL960_QL65_.jpg,449
1391,BULLMER Mens Halfsleeve Round Neck Printed Cotton Tshirt,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg84_1?ie=UTF8&adId=A01559002UOL3CFU01OYK&url=%2FBULLMER-Halfsleeve-Printed-Cotton-Tshirt%2Fdp%2FB08CQ17TV4%2Fref%3Dsr_1_3991_sspa%3Fdchild%3D1%26keywords%3Dmen%2Btshirt%26qid%3D1596915629%26sr%3D8-3991-spons%26psc%3D1&qualifier=1596915629&id=8524657325538408&widgetName=sp_mtf,-,-,https://m.media-amazon.com/images/I/61mjFlQ01mL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61mjFlQ01mL._AC_UL480_QL65_.jpg,https://m.media-amazon.com/images/I/61mjFlQ01mL._AC_UL640_QL65_.jpg,https://m.media-amazon.com/images/I/61mjFlQ01mL._AC_UL800_QL65_.jpg,https://m.media-amazon.com/images/I/61mjFlQ01mL._AC_UL960_QL65_.jpg,449
1392,BULLMER Mens Halfsleeve Round Neck Printed Cotton Tshirt,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg84_1?ie=UTF8&adId=A01511841ZEKZG9EZYBQJ&url=%2FBULLMER-Halfsleeve-Printed-Cotton-Tshirt%2Fdp%2FB08CQ2VW4H%2Fref%3Dsr_1_3992_sspa%3Fdchild%3D1%26keywords%3Dmen%2Btshirt%26qid%3D1596915629%26sr%3D8-3992-spons%26psc%3D1&qualifier=1596915629&id=8524657325538408&widgetName=sp_mtf,-,-,https://m.media-amazon.com/images/I/61vxcLjWa5L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61vxcLjWa5L._AC_UL480_QL65_.jpg,https://m.media-amazon.com/images/I/61vxcLjWa5L._AC_UL640_QL65_.jpg,https://m.media-amazon.com/images/I/61vxcLjWa5L._AC_UL800_QL65_.jpg,https://m.media-amazon.com/images/I/61vxcLjWa5L._AC_UL960_QL65_.jpg,449
1393,BULLMER Mens Halfsleeve Round Neck Printed Cotton Tshirt,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg84_1?ie=UTF8&adId=A01621761N9PJCQNYCGCP&url=%2FBULLMER-Halfsleeve-Printed-Cotton-Tshirt%2Fdp%2FB08CQ8WZ1V%2Fref%3Dsr_1_3993_sspa%3Fdchild%3D1%26keywords%3Dmen%2Btshirt%26qid%3D1596915629%26sr%3D8-3993-spons%26psc%3D1&qualifier=1596915629&id=8524657325538408&widgetName=sp_btf,-,-,https://m.media-amazon.com/images/I/61kpNslVgHL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61kpNslVgHL._AC_UL480_QL65_.jpg,https://m.media-amazon.com/images/I/61kpNslVgHL._AC_UL640_QL65_.jpg,https://m.media-amazon.com/images/I/61kpNslVgHL._AC_UL800_QL65_.jpg,https://m.media-amazon.com/images/I/61kpNslVgHL._AC_UL960_QL65_.jpg,449
1394,BULLMER Mens Halfsleeve Round Neck Printed Cotton Tshirt,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg84_1?ie=UTF8&adId=A01600563U9BXKZWNS5X7&url=%2FBULLMER-Halfsleeve-Printed-Cotton-Tshirt%2Fdp%2FB08CPWPKLY%2Fref%3Dsr_1_3994_sspa%3Fdchild%3D1%26keywords%3Dmen%2Btshirt%26qid%3D1596915629%26sr%3D8-3994-spons%26psc%3D1&qualifier=1596915629&id=8524657325538408&widgetName=sp_btf,-,-,https://m.media-amazon.com/images/I/61ax9Dv9sVL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61ax9Dv9sVL._AC_UL480_QL65_.jpg,https://m.media-amazon.com/images/I/61ax9Dv9sVL._AC_UL640_QL65_.jpg,https://m.media-amazon.com/images/I/61ax9Dv9sVL._AC_UL800_QL65_.jpg,https://m.media-amazon.com/images/I/61ax9Dv9sVL._AC_UL960_QL65_.jpg,449
1395,BULLMER Mens Halfsleeve Round Neck Printed Cotton Tshirt,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg84_1?ie=UTF8&adId=A01632561H2EXW9H30M6A&url=%2FBULLMER-Halfsleeve-Printed-Cotton-Tshirt%2Fdp%2FB08CPSK6HJ%2Fref%3Dsr_1_3995_sspa%3Fdchild%3D1%26keywords%3Dmen%2Btshirt%26qid%3D1596915629%26sr%3D8-3995-spons%26psc%3D1&qualifier=1596915629&id=8524657325538408&widgetName=sp_btf,-,-,https://m.media-amazon.com/images/I/61dD-XE5F0L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61dD-XE5F0L._AC_UL480_QL65_.jpg,https://m.media-amazon.com/images/I/61dD-XE5F0L._AC_UL640_QL65_.jpg,https://m.media-amazon.com/images/I/61dD-XE5F0L._AC_UL800_QL65_.jpg,https://m.media-amazon.com/images/I/61dD-XE5F0L._AC_UL960_QL65_.jpg,449
1396,Lee X-Line Men's Slim fit T-Shirt,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg84_1?ie=UTF8&adId=A02876552IHU0KNRLSWRY&url=%2FLee-X-Line-Printed-T-Shirt-L41368CB0XLN_Jsw-Navy%2Fdp%2FB07WG5V1JV%2Fref%3Dsr_1_3996_sspa%3Fdchild%3D1%26keywords%3Dmen%2Btshirt%26qid%3D1596915629%26sr%3D8-3996-spons%26psc%3D1&qualifier=1596915629&id=8524657325538408&widgetName=sp_btf,3.7 out of 5 stars,3,https://m.media-amazon.com/images/I/91RNeaCkDxL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91RNeaCkDxL._AC_UL480_QL65_.jpg,https://m.media-amazon.com/images/I/91RNeaCkDxL._AC_UL640_QL65_.jpg,https://m.media-amazon.com/images/I/91RNeaCkDxL._AC_UL800_QL65_.jpg,https://m.media-amazon.com/images/I/91RNeaCkDxL._AC_UL960_QL65_.jpg,383
1397,,https://www.amazon.in/gp/help/customer/display.html?nodeId=200533820,-,-,-,-,-,-,-,-
1398,Lee X-Line Men's Slim fit T-Shirt,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg85_1?ie=UTF8&adId=A00684273SZPO31QF6IVU&url=%2FLee-X-Line-Printed-T-Shirt-L41345CB0XLN_Jsw-Akr%2Fdp%2FB07WKDR86K%2Fref%3Dsr_1_4033_sspa%3Fdchild%3D1%26keywords%3Dmen%2Btshirt%26qid%3D1596915634%26sr%3D8-4033-spons%26psc%3D1&qualifier=1596915634&id=7460302304298308&widgetName=sp_atf_next,4.9 out of 5 stars,10,https://m.media-amazon.com/images/I/719HeQ7lm-L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/719HeQ7lm-L._AC_UL480_QL65_.jpg,https://m.media-amazon.com/images/I/719HeQ7lm-L._AC_UL640_QL65_.jpg,https://m.media-amazon.com/images/I/719HeQ7lm-L._AC_UL800_QL65_.jpg,https://m.media-amazon.com/images/I/719HeQ7lm-L._AC_UL960_QL65_.jpg,386
